borough,Construction.year
Queens,2016
Manhattan,2014
Manhattan,2017
Manhattan,2008
Brooklyn,2010
Manhattan,2005
Manhattan,2008
Brooklyn,2009
Manhattan,2008
Brooklyn,2017
Bronx,2005
Manhattan,2013
Manhattan,2017
Brooklyn,2020
Manhattan,2020
Brooklyn,2009
Manhattan,2015
Brooklyn,2006
Manhattan,2010
Manhattan,2015
Brooklyn,2003
Queens,2006
Manhattan,2022
Queens,2013
Brooklyn,2018
Manhattan,2010
Manhattan,2007
Brooklyn,2016
Brooklyn,2004
Manhattan,2006
Manhattan,2017
Manhattan,2012
Manhattan,2013
Brooklyn,2008
Manhattan,2010
Manhattan,2010
Manhattan,2008
Brooklyn,2006
Bronx,2004
Brooklyn,2010
Queens,2003
Bronx,2016
Manhattan,2020
Queens,2012
Manhattan,2015
Manhattan,2005
Manhattan,2019
Brooklyn,2013
Manhattan,2003
Manhattan,2020
Brooklyn,2003
Manhattan,2006
Manhattan,2013
Queens,2006
Queens,2009
Brooklyn,2019
Manhattan,2022
Manhattan,2010
Queens,2019
Manhattan,2009
Brooklyn,2011
Brooklyn,2022
Manhattan,2016
Manhattan,2022
Queens,2007
Queens,2015
Manhattan,2009
Manhattan,2020
Manhattan,2017
Brooklyn,2007
Brooklyn,2018
Manhattan,2011
Brooklyn,2009
Queens,2009
Brooklyn,2012
Queens,2005
Brooklyn,2004
Brooklyn,2020
Manhattan,2018
Brooklyn,2008
Brooklyn,2016
Brooklyn,2008
Manhattan,2008
Manhattan,2018
Brooklyn,2017
Brooklyn,2008
Manhattan,2014
Manhattan,2019
Brooklyn,2019
Manhattan,2013
Brooklyn,2010
Brooklyn,2011
Queens,2018
Queens,2015
Queens,2007
Queens,2008
Manhattan,2015
Queens,2017
Manhattan,2005
Bronx,2010
Brooklyn,2016
Manhattan,2013
Brooklyn,2009
Manhattan,2011
Manhattan,2022
Manhattan,2021
Manhattan,2015
Manhattan,2005
Brooklyn,2018
Brooklyn,2006
Manhattan,2014
Bronx,2006
Manhattan,2007
Manhattan,2005
Queens,2004
Queens,2004
Manhattan,2017
Manhattan,2006
Queens,2016
Brooklyn,2017
Brooklyn,2017
Manhattan,2015
Manhattan,2016
Manhattan,2021
Manhattan,2007
Brooklyn,2013
Brooklyn,2006
Manhattan,2012
Brooklyn,2018
Manhattan,2022
Manhattan,2020
Staten Island,2004
Manhattan,2016
Brooklyn,2007
Manhattan,2015
Manhattan,2012
Manhattan,2014
Bronx,2008
Brooklyn,2006
Manhattan,2009
Manhattan,2007
Manhattan,2004
Manhattan,2005
Manhattan,2011
Brooklyn,2013
Brooklyn,2020
Manhattan,2012
Brooklyn,2015
Manhattan,2019
Manhattan,2013
Brooklyn,2020
Manhattan,2005
Queens,2005
Manhattan,2003
Queens,2020
Brooklyn,2011
Queens,2011
Brooklyn,2008
Brooklyn,2013
Brooklyn,2010
Brooklyn,2005
Manhattan,2018
Queens,2018
Brooklyn,2007
Manhattan,2003
Manhattan,2020
Manhattan,2003
Brooklyn,2013
Manhattan,2012
Brooklyn,2013
Brooklyn,2017
Manhattan,2004
Brooklyn,2008
Queens,2021
Brooklyn,2015
Brooklyn,2019
Brooklyn,2007
Brooklyn,2008
Brooklyn,2014
Brooklyn,2009
Manhattan,2004
Queens,2014
Brooklyn,2018
Brooklyn,2004
Brooklyn,2009
Brooklyn,2008
Brooklyn,2020
Queens,2022
Manhattan,2015
Brooklyn,2016
Manhattan,2020
Brooklyn,2016
Brooklyn,2008
Manhattan,2011
Manhattan,2019
Queens,2011
Manhattan,2016
Manhattan,2011
Manhattan,2020
Manhattan,2005
Manhattan,2015
Queens,2013
Manhattan,2019
Manhattan,2009
Brooklyn,2012
Brooklyn,2022
Manhattan,2009
Brooklyn,2022
Manhattan,2021
Brooklyn,2011
Manhattan,2011
Bronx,2020
Brooklyn,2007
Brooklyn,2018
Queens,2012
Manhattan,2008
Queens,2006
Manhattan,2015
Manhattan,2009
Manhattan,2017
Brooklyn,2007
Manhattan,2020
Manhattan,2004
Manhattan,2012
Queens,2004
Brooklyn,2016
Brooklyn,2011
Manhattan,2017
Brooklyn,2007
Queens,2014
Manhattan,2007
Manhattan,2013
Brooklyn,2022
Brooklyn,2015
Brooklyn,2011
Manhattan,2010
Manhattan,2005
Bronx,2006
Brooklyn,2006
Brooklyn,2005
Manhattan,2020
Queens,2004
Brooklyn,2017
Brooklyn,2012
Manhattan,2021
Staten Island,2009
Brooklyn,2020
Manhattan,2020
Manhattan,2017
Brooklyn,2005
Manhattan,2006
Queens,2010
Brooklyn,2005
Brooklyn,2011
Brooklyn,2011
Queens,2010
Brooklyn,2022
Manhattan,2006
Manhattan,2020
Manhattan,2003
Brooklyn,2009
Manhattan,2017
Brooklyn,2007
Brooklyn,2010
Brooklyn,2007
Manhattan,2013
Manhattan,2011
Manhattan,2012
Bronx,2015
Bronx,2021
Manhattan,2003
Manhattan,2018
Manhattan,2005
Manhattan,2003
Manhattan,2021
Queens,2004
Bronx,2020
Queens,2016
Brooklyn,2018
Queens,2008
Brooklyn,2005
Brooklyn,2019
Brooklyn,2021
Brooklyn,2003
Manhattan,2008
Brooklyn,2005
Manhattan,2003
Brooklyn,2021
Brooklyn,2010
Queens,2019
Manhattan,2011
Manhattan,2012
Manhattan,2006
Brooklyn,2007
Brooklyn,2008
Brooklyn,2004
Manhattan,2007
Brooklyn,2021
Brooklyn,2016
Manhattan,2004
Manhattan,2007
Manhattan,2011
Queens,2010
Brooklyn,2003
Manhattan,2021
Manhattan,2005
Manhattan,2005
Brooklyn,2012
Manhattan,2006
Manhattan,2004
Manhattan,2018
Brooklyn,2007
Manhattan,2010
Manhattan,2019
Brooklyn,2006
Manhattan,2010
Brooklyn,2022
Brooklyn,2012
Brooklyn,2021
Brooklyn,2020
Manhattan,2003
Queens,2010
Brooklyn,2011
Manhattan,2022
Brooklyn,2014
Manhattan,2021
Manhattan,2010
Queens,2009
Brooklyn,2019
Brooklyn,2011
Queens,2006
Brooklyn,2022
Brooklyn,2022
Manhattan,2004
Brooklyn,2014
Manhattan,2006
Brooklyn,2020
Manhattan,2004
Queens,2017
Brooklyn,2004
Manhattan,2020
Queens,2004
Brooklyn,2004
Brooklyn,2011
Brooklyn,2016
Manhattan,2010
Brooklyn,2005
Brooklyn,2016
Manhattan,2009
Queens,2004
Brooklyn,2003
Queens,2003
Manhattan,2021
Manhattan,2012
Queens,2010
Manhattan,2007
Brooklyn,2010
Queens,2007
Brooklyn,2004
Brooklyn,2016
Brooklyn,2020
Queens,2014
Manhattan,2007
Queens,2014
Queens,2007
Manhattan,2021
Queens,2015
Manhattan,2021
Manhattan,2007
Queens,2017
Staten Island,2017
Manhattan,2010
Queens,2017
Manhattan,2010
Manhattan,2007
Manhattan,2007
Queens,2004
Brooklyn,2009
Manhattan,2022
Brooklyn,2021
Brooklyn,2009
Brooklyn,2003
Manhattan,2006
Brooklyn,2003
Brooklyn,2012
Manhattan,2003
Brooklyn,2020
Brooklyn,2006
Brooklyn,2015
Bronx,2020
Brooklyn,2003
Queens,2007
Manhattan,2016
Manhattan,2008
Bronx,2006
Brooklyn,2010
Queens,2019
Queens,2007
Brooklyn,2013
Manhattan,2014
Brooklyn,2010
Brooklyn,2020
Manhattan,2006
Manhattan,2011
Manhattan,2022
Brooklyn,2003
Manhattan,2020
Brooklyn,2021
Brooklyn,2021
Manhattan,2007
Brooklyn,2019
Manhattan,2020
Brooklyn,2022
Manhattan,2012
Manhattan,2022
Manhattan,2012
Brooklyn,2003
Manhattan,2019
Brooklyn,2006
Brooklyn,2005
Manhattan,2004
Brooklyn,2009
Queens,2017
Manhattan,2013
Brooklyn,2020
Manhattan,2015
Manhattan,2006
Brooklyn,2022
Brooklyn,2022
Brooklyn,2013
Brooklyn,2006
Brooklyn,2015
Brooklyn,2018
Manhattan,2012
Manhattan,2019
Queens,2008
Manhattan,2021
Manhattan,2003
Brooklyn,2022
Queens,2021
Manhattan,2018
Manhattan,2012
Queens,2012
Brooklyn,2017
Brooklyn,2006
Brooklyn,2008
Brooklyn,2012
Queens,2010
Queens,2017
Manhattan,2021
Manhattan,2007
Manhattan,2012
Queens,2007
Queens,2009
Manhattan,2015
Manhattan,2014
Manhattan,2004
Queens,2019
Manhattan,2018
Bronx,2009
Brooklyn,2016
Manhattan,2014
Manhattan,2008
Manhattan,2006
Queens,2009
Brooklyn,2007
Manhattan,2015
Manhattan,2018
Manhattan,2017
Manhattan,2011
Manhattan,2011
Brooklyn,2007
Manhattan,2012
Manhattan,2011
Manhattan,2009
Manhattan,2007
Manhattan,2022
Brooklyn,2013
Manhattan,2005
Brooklyn,2009
Brooklyn,2012
Brooklyn,2019
Bronx,2006
Brooklyn,2018
Brooklyn,2020
Brooklyn,2008
Brooklyn,2022
Brooklyn,2008
Queens,2006
Manhattan,2011
Manhattan,2017
Brooklyn,2006
Manhattan,2015
Brooklyn,2022
Queens,2018
Manhattan,2013
Queens,2015
Queens,2010
Brooklyn,2003
Brooklyn,2004
Brooklyn,2020
Brooklyn,2012
Manhattan,2009
Brooklyn,2006
Bronx,2007
Brooklyn,2020
Brooklyn,2004
Manhattan,2010
Brooklyn,2010
Staten Island,2004
Staten Island,2013
Brooklyn,2005
Brooklyn,2017
Brooklyn,2019
Manhattan,2017
Brooklyn,2018
Brooklyn,2004
Brooklyn,2006
Manhattan,2011
Queens,2022
Manhattan,2010
Brooklyn,2008
Manhattan,2008
Manhattan,2005
Brooklyn,2006
Queens,2019
Brooklyn,2021
Manhattan,2020
Manhattan,2017
Manhattan,2006
Brooklyn,2009
Brooklyn,2006
Manhattan,2011
Brooklyn,2005
Manhattan,2022
Manhattan,2021
Brooklyn,2016
Brooklyn,2007
Brooklyn,2015
Manhattan,2016
Bronx,2019
Manhattan,2016
Brooklyn,2010
Brooklyn,2019
Queens,2003
Manhattan,2003
Brooklyn,2022
Brooklyn,2011
Manhattan,2015
Brooklyn,2017
Brooklyn,2020
Brooklyn,2014
Brooklyn,2017
Manhattan,2013
Manhattan,2015
Bronx,2009
Manhattan,2022
Brooklyn,2014
Manhattan,2011
Manhattan,2010
Brooklyn,2005
Staten Island,2020
Brooklyn,2009
Queens,2004
Manhattan,2007
Brooklyn,2014
Manhattan,2011
Manhattan,2011
Brooklyn,2004
Brooklyn,2018
Brooklyn,2006
Brooklyn,2006
Brooklyn,2014
Manhattan,2020
Brooklyn,2012
Brooklyn,2021
Queens,2011
Manhattan,2015
Brooklyn,2003
Manhattan,2010
Brooklyn,2018
Brooklyn,2005
Queens,2021
Manhattan,2003
Brooklyn,2012
Manhattan,2009
Manhattan,2006
Manhattan,2010
Manhattan,2010
Manhattan,2004
Brooklyn,2007
Brooklyn,2016
Queens,2022
Manhattan,2012
Queens,2009
Brooklyn,2008
Brooklyn,2022
Brooklyn,2015
Brooklyn,2020
Brooklyn,2012
Queens,2014
Queens,2012
Queens,2013
Queens,2014
Manhattan,2021
Manhattan,2007
Manhattan,2007
Queens,2019
Queens,2020
Manhattan,2003
Manhattan,2009
Queens,2016
Manhattan,2011
Brooklyn,2015
Brooklyn,2013
Brooklyn,2004
Manhattan,2012
Manhattan,2016
Brooklyn,2021
Queens,2014
Manhattan,2006
Queens,2020
Manhattan,2003
Brooklyn,2020
Manhattan,2022
Queens,2010
Queens,2009
Brooklyn,2019
Manhattan,2020
Brooklyn,2003
Brooklyn,2003
Manhattan,2010
Manhattan,2019
Manhattan,2019
Brooklyn,2015
Manhattan,2017
Manhattan,2012
Brooklyn,2016
Manhattan,2018
Bronx,2021
Queens,2018
Brooklyn,2003
Manhattan,2008
Manhattan,2017
Manhattan,2006
Brooklyn,2006
Manhattan,2009
Manhattan,2021
Manhattan,2010
Queens,2011
Brooklyn,2018
Manhattan,2005
Manhattan,2005
Queens,2006
Queens,2003
Brooklyn,2011
Brooklyn,2020
Queens,2005
Queens,2016
Bronx,2014
Manhattan,2021
Manhattan,2009
Manhattan,2010
Manhattan,2013
Manhattan,2018
Manhattan,2005
Brooklyn,2006
Brooklyn,2021
Manhattan,2005
Manhattan,2007
Brooklyn,2014
Queens,2010
Manhattan,2016
Manhattan,2009
Brooklyn,2021
Brooklyn,2018
Brooklyn,2010
Manhattan,2009
Manhattan,2013
Queens,2005
Brooklyn,2011
Brooklyn,2014
Queens,2004
Bronx,2010
Manhattan,2022
Manhattan,2004
Manhattan,2015
Manhattan,2009
Brooklyn,2017
Manhattan,2009
Brooklyn,2009
Manhattan,2014
Queens,2009
Manhattan,2005
Manhattan,2021
Brooklyn,2020
Brooklyn,2018
Bronx,2019
Brooklyn,2003
Manhattan,2015
Queens,2012
Manhattan,2019
Manhattan,2015
Manhattan,2007
Brooklyn,2005
Queens,2007
Brooklyn,2012
Manhattan,2009
Brooklyn,2017
Manhattan,2017
Brooklyn,2016
Manhattan,2013
Manhattan,2005
Queens,2005
Brooklyn,2016
Manhattan,2018
Manhattan,2006
Brooklyn,2018
Manhattan,2012
Queens,2014
Manhattan,2009
Manhattan,2018
Manhattan,2016
Queens,2007
Brooklyn,2013
Brooklyn,2005
Brooklyn,2020
Queens,2006
Manhattan,2010
Queens,2014
Manhattan,2008
Manhattan,2011
Queens,2015
Brooklyn,2005
Brooklyn,2016
Queens,2012
Manhattan,2006
Bronx,2005
Staten Island,2005
Manhattan,2018
Manhattan,2012
Manhattan,2012
Brooklyn,2007
Brooklyn,2010
Manhattan,2008
Manhattan,2008
Brooklyn,2011
Manhattan,2008
Manhattan,2009
Manhattan,2019
Manhattan,2009
Manhattan,2018
Brooklyn,2007
Manhattan,2008
Bronx,2003
Brooklyn,2009
Brooklyn,2005
Brooklyn,2014
Manhattan,2008
Manhattan,2016
Manhattan,2003
Manhattan,2015
Manhattan,2012
Manhattan,2015
Queens,2004
Manhattan,2019
Manhattan,2021
Manhattan,2012
Manhattan,2004
Manhattan,2003
Manhattan,2003
Manhattan,2006
Manhattan,2016
Manhattan,2019
Manhattan,2017
Manhattan,2008
Queens,2017
Manhattan,2017
Brooklyn,2010
Queens,2018
Manhattan,2012
Brooklyn,2017
Manhattan,2006
Bronx,2008
Manhattan,2003
Manhattan,2014
Manhattan,2010
Manhattan,2011
Manhattan,2015
Manhattan,2012
Manhattan,2012
Manhattan,2022
Manhattan,2016
Manhattan,2016
Manhattan,2016
Manhattan,2020
Manhattan,2016
Manhattan,2012
Manhattan,2003
Manhattan,2021
Manhattan,2004
Manhattan,2019
Manhattan,2005
Manhattan,2016
Manhattan,2008
Manhattan,2017
Manhattan,2006
Manhattan,2003
Manhattan,2006
Manhattan,2019
Manhattan,2005
Manhattan,2003
Manhattan,2005
Manhattan,2018
Manhattan,2021
Manhattan,2009
Manhattan,2018
Manhattan,2019
Manhattan,2012
Manhattan,2019
Manhattan,2016
Manhattan,2004
Brooklyn,2012
Manhattan,2012
Manhattan,2019
Manhattan,2016
Manhattan,2012
Manhattan,2008
Manhattan,2007
Manhattan,2007
Manhattan,2022
Manhattan,2021
Manhattan,2013
Manhattan,2017
Manhattan,2008
Manhattan,2009
Manhattan,2018
Manhattan,2018
Manhattan,2020
Manhattan,2022
Manhattan,2019
Manhattan,2003
Manhattan,2010
Manhattan,2014
Brooklyn,2003
Manhattan,2010
Manhattan,2016
Brooklyn,2017
Manhattan,2017
Manhattan,2012
Manhattan,2019
Manhattan,2014
Manhattan,2008
Manhattan,2004
Manhattan,2018
Manhattan,2015
Manhattan,2005
Manhattan,2008
Manhattan,2017
Manhattan,2004
Manhattan,2008
Manhattan,2021
Brooklyn,2021
Manhattan,2018
Manhattan,2008
Manhattan,2014
Manhattan,2021
Manhattan,2021
Brooklyn,2012
Brooklyn,2010
Queens,2013
Brooklyn,2020
Manhattan,2020
Brooklyn,2003
Manhattan,2012
Brooklyn,2013
Brooklyn,2020
Queens,2005
Queens,2005
Queens,2007
Queens,2017
Queens,2018
Brooklyn,2012
Bronx,2022
Brooklyn,2005
Manhattan,2022
Brooklyn,2017
Bronx,2018
Manhattan,2011
Queens,2012
Manhattan,2006
Brooklyn,2006
Manhattan,2014
Brooklyn,2011
Queens,2012
Brooklyn,2005
Brooklyn,2007
Brooklyn,2008
Manhattan,2003
Queens,2016
Brooklyn,2017
Manhattan,2003
Brooklyn,2015
Brooklyn,2008
Brooklyn,2020
Brooklyn,2015
Manhattan,2017
Manhattan,2010
Brooklyn,2006
Manhattan,2009
Queens,2009
Queens,2008
Manhattan,2004
Brooklyn,2003
Brooklyn,2006
Brooklyn,2017
Brooklyn,2011
Brooklyn,2019
Brooklyn,2020
Brooklyn,2020
Brooklyn,2006
Brooklyn,2018
Brooklyn,2016
Manhattan,2021
Queens,2018
Brooklyn,2008
Manhattan,2015
Queens,2017
Manhattan,2014
Manhattan,2012
Manhattan,2009
Brooklyn,2004
Brooklyn,2021
Brooklyn,2003
Manhattan,2015
Brooklyn,2007
Brooklyn,2007
Brooklyn,2017
Manhattan,2009
Manhattan,2011
Manhattan,2014
Manhattan,2015
Manhattan,2009
Brooklyn,2008
Brooklyn,2022
Brooklyn,2014
Manhattan,2021
Brooklyn,2019
Brooklyn,2020
Manhattan,2017
Brooklyn,2008
Brooklyn,2012
Manhattan,2009
Queens,2016
Manhattan,2013
Queens,2014
Manhattan,2021
Manhattan,2011
Brooklyn,2015
Manhattan,2008
Brooklyn,2012
Queens,2003
Brooklyn,2012
Brooklyn,2015
Manhattan,2018
Manhattan,2010
Brooklyn,2022
Brooklyn,2009
Brooklyn,2012
Brooklyn,2014
Queens,2003
Queens,2011
Queens,2015
Queens,2007
Brooklyn,2005
Manhattan,2012
Manhattan,2006
Brooklyn,2014
Bronx,2007
Brooklyn,2017
Manhattan,2005
Manhattan,2015
Brooklyn,2009
Manhattan,2019
Manhattan,2015
Manhattan,2015
Brooklyn,2012
Brooklyn,2019
Manhattan,2010
Manhattan,2021
Brooklyn,2005
Brooklyn,2003
Manhattan,2014
Brooklyn,2010
Staten Island,2009
Brooklyn,2013
Brooklyn,2007
Brooklyn,2022
Brooklyn,2007
Manhattan,2014
Manhattan,2010
Manhattan,2008
Brooklyn,2008
Manhattan,2006
Brooklyn,2018
Brooklyn,2007
Bronx,2005
Brooklyn,2005
Brooklyn,2014
Bronx,2006
Brooklyn,2008
Manhattan,2003
Queens,2008
Manhattan,2017
Brooklyn,2010
Bronx,2008
Brooklyn,2021
Brooklyn,2019
Queens,2016
Queens,2011
Queens,2017
Queens,2007
Queens,2008
Queens,2018
Brooklyn,2009
Manhattan,2013
Queens,2010
Manhattan,2017
Brooklyn,2008
Bronx,2016
Brooklyn,2019
Brooklyn,2014
Brooklyn,2013
Brooklyn,2010
Manhattan,2020
Manhattan,2013
Brooklyn,2004
Manhattan,2003
Manhattan,2013
Queens,2015
Brooklyn,2012
Manhattan,2004
Queens,2020
Manhattan,2019
Brooklyn,2011
Manhattan,2004
Brooklyn,2014
Brooklyn,2012
Manhattan,2018
Queens,2019
Manhattan,2022
Manhattan,2022
Bronx,2006
Brooklyn,2003
Manhattan,2019
Manhattan,2016
Brooklyn,2012
Brooklyn,2018
Bronx,2011
Brooklyn,2015
Manhattan,2010
Manhattan,2006
Manhattan,2012
Manhattan,2010
Manhattan,2006
Manhattan,2003
Brooklyn,2019
Brooklyn,2011
Brooklyn,2019
Manhattan,2012
Manhattan,2003
Manhattan,2020
Brooklyn,2013
Brooklyn,2007
Bronx,2010
Brooklyn,2013
Brooklyn,2021
Manhattan,2017
Brooklyn,2004
Queens,2008
Brooklyn,2019
Manhattan,2022
Queens,2018
Queens,2017
Queens,2019
Queens,2010
Brooklyn,2009
Brooklyn,2021
Queens,2003
Queens,2015
Brooklyn,2022
Brooklyn,2012
Brooklyn,2008
Brooklyn,2020
Manhattan,2010
Brooklyn,2006
Queens,2010
Brooklyn,2016
Manhattan,2008
Brooklyn,2011
Manhattan,2003
Staten Island,2012
Manhattan,2016
Manhattan,2014
Manhattan,2008
Brooklyn,2006
Queens,2022
Manhattan,2022
Manhattan,2012
Brooklyn,2004
Manhattan,2020
Brooklyn,2017
Brooklyn,2016
Brooklyn,2010
Staten Island,2009
Queens,2013
Manhattan,2004
Brooklyn,2016
Brooklyn,2010
Manhattan,2005
Manhattan,2018
Manhattan,2006
Manhattan,2020
Manhattan,2012
Queens,2006
Queens,2021
Manhattan,2004
Manhattan,2021
Queens,2011
Manhattan,2004
Manhattan,2009
Brooklyn,2012
Brooklyn,2020
Manhattan,2009
Brooklyn,2020
Brooklyn,2005
Manhattan,2011
Manhattan,2014
Manhattan,2021
Manhattan,2011
Brooklyn,2016
Brooklyn,2009
Manhattan,2013
Brooklyn,2021
Manhattan,2020
Brooklyn,2019
Brooklyn,2020
Queens,2011
Manhattan,2018
Brooklyn,2014
Brooklyn,2010
Brooklyn,2021
Manhattan,2014
Manhattan,2008
Queens,2012
Manhattan,2020
Brooklyn,2020
Manhattan,2021
Brooklyn,2005
Manhattan,2013
Manhattan,2009
Queens,2008
Manhattan,2011
Brooklyn,2019
Brooklyn,2022
Queens,2003
Brooklyn,2007
Brooklyn,2005
Manhattan,2009
Brooklyn,2005
Queens,2013
Brooklyn,2004
Manhattan,2016
Manhattan,2014
Manhattan,2021
Brooklyn,2007
Queens,2018
Manhattan,2008
Brooklyn,2022
Manhattan,2009
Manhattan,2006
Manhattan,2013
Manhattan,2006
Manhattan,2014
Brooklyn,2017
Manhattan,2005
Queens,2019
Bronx,2012
Manhattan,2014
Brooklyn,2018
Brooklyn,2009
Manhattan,2009
Brooklyn,2022
Queens,2005
Manhattan,2019
Manhattan,2013
Manhattan,2020
Brooklyn,2012
Bronx,2020
Brooklyn,2014
Brooklyn,2022
Manhattan,2014
Brooklyn,2015
Brooklyn,2017
Manhattan,2021
Brooklyn,2012
Brooklyn,2013
Brooklyn,2017
Brooklyn,2021
Brooklyn,2004
Brooklyn,2021
Queens,2006
Brooklyn,2009
Brooklyn,2011
Brooklyn,2019
Brooklyn,2003
Queens,2022
Bronx,2007
Queens,2008
Manhattan,2003
Manhattan,2003
Manhattan,2021
Manhattan,2006
Manhattan,2012
Manhattan,2010
Manhattan,2017
Manhattan,2019
Manhattan,2021
Manhattan,2016
Manhattan,2006
Manhattan,2010
Brooklyn,2007
Manhattan,2009
Manhattan,2008
Manhattan,2013
Bronx,2021
Brooklyn,2020
Brooklyn,2010
Brooklyn,2004
Queens,2020
Manhattan,2008
Manhattan,2021
Manhattan,2020
Manhattan,2013
Manhattan,2022
Manhattan,2009
Brooklyn,2018
Manhattan,2011
Queens,2015
Queens,2012
Brooklyn,2006
Manhattan,2010
Manhattan,2014
Manhattan,2003
Manhattan,2008
Manhattan,2013
Manhattan,2007
Queens,2011
Manhattan,2006
Manhattan,2013
Brooklyn,2003
Manhattan,2022
Queens,2015
Queens,2005
Brooklyn,2007
Manhattan,2008
Brooklyn,2013
Brooklyn,2012
Manhattan,2016
Manhattan,2011
Brooklyn,2014
Brooklyn,2016
Manhattan,2007
Brooklyn,2011
Brooklyn,2012
Brooklyn,2009
Manhattan,2017
Brooklyn,2011
Manhattan,2022
Manhattan,2016
Brooklyn,2011
Manhattan,2004
Manhattan,2017
Queens,2008
Manhattan,2005
Manhattan,2012
Manhattan,2021
Manhattan,2011
Manhattan,2008
Manhattan,2003
Manhattan,2013
Manhattan,2003
Manhattan,2021
Manhattan,2019
Manhattan,2016
Manhattan,2005
Manhattan,2006
Manhattan,2012
Manhattan,2010
Manhattan,2003
Manhattan,2015
Manhattan,2006
Manhattan,2011
Manhattan,2008
Manhattan,2016
Brooklyn,2022
Manhattan,2004
Manhattan,2014
Queens,2017
Queens,2022
Staten Island,2015
Brooklyn,2015
Brooklyn,2014
Manhattan,2009
Queens,2009
Manhattan,2011
Bronx,2016
Queens,2018
Manhattan,2015
Brooklyn,2010
Manhattan,2016
Queens,2012
Brooklyn,2004
Manhattan,2008
Manhattan,2009
Manhattan,2020
Bronx,2014
Manhattan,2009
Queens,2016
Manhattan,2004
Brooklyn,2018
Queens,2008
Queens,2004
Brooklyn,2018
Brooklyn,2011
Manhattan,2004
Brooklyn,2020
Manhattan,2017
Manhattan,2005
Brooklyn,2004
Brooklyn,2020
Brooklyn,2021
Brooklyn,2020
Brooklyn,2020
Brooklyn,2015
Queens,2010
Manhattan,2019
Brooklyn,2003
Brooklyn,2008
Brooklyn,2022
Brooklyn,2022
Brooklyn,2007
Manhattan,2017
Manhattan,2012
Manhattan,2005
Manhattan,2006
Manhattan,2018
Manhattan,2004
Manhattan,2022
Queens,2007
Brooklyn,2017
Brooklyn,2018
Queens,2014
Manhattan,2007
Manhattan,2020
Brooklyn,2015
Manhattan,2007
Brooklyn,2018
Brooklyn,2004
Brooklyn,2010
Queens,2010
Queens,2005
Manhattan,2011
Brooklyn,2013
Manhattan,2012
Queens,2014
Brooklyn,2006
Manhattan,2022
Manhattan,2006
Queens,2020
Manhattan,2020
Brooklyn,2021
Manhattan,2012
Queens,2019
Queens,2014
Queens,2005
Manhattan,2017
Queens,2007
Manhattan,2016
Brooklyn,2012
Manhattan,2006
Brooklyn,2020
Brooklyn,2005
Manhattan,2010
Queens,2015
Bronx,2022
Manhattan,2006
Brooklyn,2006
Manhattan,2012
Brooklyn,2003
Bronx,2011
Brooklyn,2019
Queens,2008
Manhattan,2006
Brooklyn,2021
Manhattan,2004
Brooklyn,2007
Manhattan,2017
Brooklyn,2017
Brooklyn,2003
Bronx,2014
Queens,2015
Manhattan,2014
Bronx,2006
Queens,2008
Brooklyn,2007
Manhattan,2012
Manhattan,2011
Manhattan,2005
Staten Island,2020
Bronx,2018
Bronx,2019
Manhattan,2017
Bronx,2011
Manhattan,2017
Manhattan,2008
Manhattan,2004
Manhattan,2012
Manhattan,2017
Brooklyn,2014
Brooklyn,2018
Brooklyn,2009
Manhattan,2022
Manhattan,2012
Bronx,2018
Queens,2011
Manhattan,2003
Queens,2019
